"","sen.slope","sen.slope.pct","p.value","S","varS","miss","tau"
"39873",0.444444444444444,19.3236714975845,0.0352513046474463,24,119.333333333333,0,0.533333333333333
"39874",0.4,20,0.0970392989203655,19,117.666666666667,0,0.422222222222222
"39875",0.375,18.75,0.169713196655589,16,119.333333333333,0,0.355555555555556
"39876",0.375,17.8571428571429,0.169713196655589,16,119.333333333333,0,0.355555555555556
"39877",0.6,25,0.0652188168537282,21,117.666666666667,0,0.466666666666667
"39878",0.6,14.6341463414634,0.0572691874708272,22,122,0,0.488888888888889
"39879",0.75,14.4230769230769,0.169713196655589,16,119.333333333333,0,0.355555555555556
"39880",0.428571428571429,7.38916256157635,0.361976326956698,11,120.333333333333,0,0.244444444444444
"39881",0.875,11.2179487179487,0.0713349489779691,21,123,0,0.466666666666667
"39882",1,10,0.0177796776880717,27,120.333333333333,0,0.6
"39883",1,9.43396226415094,0.0472922834863332,23,123,0,0.511111111111111
"39884",0.875,8.92857142857143,0.149113055138156,17,123,0,0.377777777777778
"39885",0.8,9.87654320987654,0.0879614743080801,20,124,0,0.444444444444444
"39886",0.5,9.09090909090909,0.104588262828956,19,123,0,0.422222222222222
"39892",0.166666666666667,10.4166666666667,0.300051673753534,12,112.666666666667,0,0.266666666666667
"39893",0.166666666666667,13.8888888888889,0.0808853344542856,19,106.333333333333,0,0.422222222222222
"39894",0,0,0.238562635593107,13,103.666666666667,0,0.288888888888889
"39899",0,0,0.841219241177106,3,99.6666666666667,0,0.0666666666666667
"39900",0.285714285714286,11.9047619047619,0.0785676254945455,20,116.666666666667,0,0.444444444444444
"39901",0.5,13.5135135135135,0.0199179078262834,26,115.333333333333,0,0.577777777777778
"39902",0.4,8.69565217391304,0.23402969392116,14,119.333333333333,0,0.311111111111111
"39903",0.333333333333333,5.55555555555555,0.465827620707758,9,120.333333333333,0,0.2
"39904",0.375,5.13698630136986,0.470702992511409,9,123,0,0.2
"39905",0.333333333333333,3.584229390681,0.718347758347887,5,123,0,0.111111111111111
"39906",0,0,1,1,123,0,0.0222222222222222
"39907",0.25,1.953125,0.718347758347887,5,123,0,0.111111111111111
"39908",0.125,0.844594594594595,0.785924033396177,4,122,0,0.0888888888888889
"39909",0,0,0.927861489344052,2,122,0,0.0444444444444444
"39910",0.166666666666667,0.915750915750916,0.65078009763053,6,122,0,0.133333333333333
"39911",0,0,0.779978628826706,4,115.333333333333,0,0.0888888888888889
"39912",-0.166666666666667,-0.859106529209622,0.718347758347887,-5,123,0,-0.111111111111111
"39913",-0.125,-0.664893617021277,0.856890422412617,-3,123,0,-0.0666666666666667
"39914",0,0,0.712313293417822,-5,117.666666666667,0,-0.111111111111111
"39915",-0.142857142857143,-0.74019245003701,0.928444041500591,-2,124,0,-0.0444444444444444
"39916",-0.142857142857143,-0.703729767769177,0.785924033396177,-4,122,0,-0.0888888888888889
"39917",-0.333333333333333,-1.59489633173844,0.470702992511409,-9,123,0,-0.2
"39918",-0.333333333333333,-1.63398692810458,0.470702992511409,-9,123,0,-0.2
"39919",-0.25,-1.32275132275132,0.928444041500591,-2,124,0,-0.0444444444444444
"39920",0.25,1.5527950310559,0.928444041500591,2,124,0,0.0444444444444444
"39921",0.333333333333333,2.56410256410256,0.720514787136255,5,125,0,0.111111111111111
"39922",0.5,4.3859649122807,0.588506355271711,7,123,0,0.155555555555556
"39923",0.5,4.67289719626168,0.653422094755318,6,124,0,0.133333333333333
"39924",0.75,6.69642857142857,0.371093369522698,11,125,0,0.244444444444444
"39925",0.75,6.57894736842105,0.174452200756426,16,122,0,0.355555555555556
"39926",0.857142857142857,7.6530612244898,0.196832467429813,15,117.666666666667,0,0.333333333333333
"39927",1,8.92857142857143,0.0449061483905001,23,120.333333333333,0,0.511111111111111
"39928",0.857142857142857,8.16326530612245,0.126849294015145,18,124,0,0.4
"39929",0.625,6.00961538461538,0.465827620707758,9,120.333333333333,0,0.2
"39930",0.857142857142857,8.01068090787717,0.361976326956698,11,120.333333333333,0,0.244444444444444
"39931",0.5,4.62962962962963,0.65078009763053,6,122,0,0.133333333333333
"39932",0.25,2.47524752475248,0.305706861246088,12,115.333333333333,0,0.266666666666667
"39933",0.4,4.25531914893617,0.363302140886898,11,121,0,0.244444444444444
"39934",0.666666666666667,7.01754385964912,0.243034960294523,14,124,0,0.311111111111111
"39935",0.714285714285714,7.68049155145929,0.206827372495671,15,123,0,0.333333333333333
"39936",1,9.70873786407767,0.174452200756426,16,122,0,0.355555555555556
"39937",0.875,9.11458333333333,0.0682713827006459,21,120.333333333333,0,0.466666666666667
"39938",1.125,12.2282608695652,0.0472922834863332,23,123,0,0.511111111111111
"39939",1,10.1010101010101,0.123778009772749,18,122,0,0.4
"39940",1,9.52380952380952,0.0819832619907655,20,119.333333333333,0,0.444444444444444
"39941",1,8.69565217391304,0.100820201638402,19,120.333333333333,0,0.422222222222222
"39942",0.625,5.8411214953271,0.113429286810957,18,115.333333333333,0,0.4
"39943",0.625,6.25,0.169713196655589,16,119.333333333333,0,0.355555555555556
"39944",0.75,7.6530612244898,0.201867878536715,15,120.333333333333,0,0.333333333333333
"39945",1,10.3092783505155,0.0593144064703545,22,124,0,0.488888888888889
"39946",0.75,7.14285714285714,0.174452200756426,16,122,0,0.355555555555556
"39947",0.625,6.94444444444444,0.237923188633698,14,121.333333333333,0,0.311111111111111
"39948",0.75,8.52272727272727,0.126849294015145,18,124,0,0.4
"39949",0.714285714285714,8.21018062397373,0.144683743210904,17,120.333333333333,0,0.377777777777778
"39950",0.666666666666667,9.00900900900901,0.283130870662347,13,125,0,0.288888888888889
"39951",0.428571428571429,5.79150579150579,0.273987072340077,13,120.333333333333,0,0.288888888888889
"39952",0.875,10.8024691358025,0.144683743210904,17,120.333333333333,0,0.377777777777778
"39953",0.75,8.82352941176471,0.149113055138156,17,123,0,0.377777777777778
"39954",0.75,9.14634146341463,0.104588262828956,19,123,0,0.422222222222222
"39955",0.75,8.92857142857143,0.149113055138156,17,123,0,0.377777777777778
"39956",0.666666666666667,7.09219858156028,0.279250945368738,13,123,0,0.288888888888889
"39957",0.857142857142857,8.24175824175824,0.279250945368738,13,123,0,0.288888888888889
"39958",1,9.52380952380952,0.201867878536715,15,120.333333333333,0,0.333333333333333
"39959",1.25,12.7551020408163,0.0565896784875509,22,121.333333333333,0,0.488888888888889
"39960",1,10.989010989011,0.0593144064703545,22,124,0,0.488888888888889
"39961",0.875,9.30851063829787,0.149113055138156,17,123,0,0.377777777777778
"39962",1,10.3092783505155,0.100820201638402,19,120.333333333333,0,0.422222222222222
"39963",1,10.1010101010101,0.126849294015145,18,124,0,0.4
"39964",0.75,8.52272727272727,0.122750677743919,18,121.333333333333,0,0.4
"39965",0.875,10.6707317073171,0.0593144064703545,22,124,0,0.488888888888889
"39966",1,10.752688172043,0.0845457717040104,20,121.333333333333,0,0.444444444444444
"39967",1,10.5263157894737,0.0545584226495754,22,119.333333333333,0,0.488888888888889
"39968",1,10.5263157894737,0.126849294015145,18,124,0,0.4
"39969",1,11.7647058823529,0.0190607330716435,27,123,0,0.6
"39970",1,13.1578947368421,0.122750677743919,18,121.333333333333,0,0.4
"39971",0.833333333333333,12.6262626262626,0.126849294015145,18,124,0,0.4
"39972",0.75,12.9310344827586,0.201867878536715,15,120.333333333333,0,0.333333333333333
"39973",0.333333333333333,5.20833333333333,0.279250945368738,13,123,0,0.288888888888889
"39974",0.5,5.68181818181818,0.26861696328918,13,117.666666666667,0,0.288888888888889
