malla_punto_id;CuentaDesnow;anio_hidrologico
33757;4;2004-2005
33757;2;2005-2006
33757;2;2006-2007
33757;4;2008-2009
33758;1;2000-2001
33758;1;2001-2002
33758;5;2002-2003
33758;1;2003-2004
33758;5;2004-2005
33758;3;2005-2006
33758;3;2006-2007
33758;6;2008-2009
33759;1;2000-2001
33759;1;2001-2002
33759;6;2002-2003
33759;1;2003-2004
33759;5;2004-2005
33759;3;2005-2006
33759;3;2006-2007
33759;6;2008-2009
33760;1;2000-2001
33760;2;2001-2002
33760;6;2002-2003
33760;1;2003-2004
33760;5;2004-2005
33760;3;2005-2006
33760;3;2006-2007
33760;5;2008-2009
33761;1;2000-2001
33761;1;2001-2002
33761;5;2002-2003
33761;1;2003-2004
33761;5;2004-2005
33761;3;2005-2006
33761;2;2006-2007
33761;4;2008-2009
33762;1;2000-2001
33762;1;2001-2002
33762;5;2002-2003
33762;1;2003-2004
33762;5;2004-2005
33762;3;2005-2006
33762;2;2006-2007
33762;2;2007-2008
33762;4;2008-2009
33763;1;2000-2001
33763;1;2001-2002
33763;4;2002-2003
33763;1;2003-2004
33763;4;2004-2005
33763;2;2005-2006
33763;2;2006-2007
33763;2;2007-2008
33763;4;2008-2009
33764;1;2000-2001
33764;1;2001-2002
33764;6;2002-2003
33764;1;2003-2004
33764;4;2004-2005
33764;3;2005-2006
33764;3;2006-2007
33764;2;2007-2008
33764;4;2008-2009
33765;1;2000-2001
33765;1;2001-2002
33765;6;2002-2003
33765;1;2003-2004
33765;5;2004-2005
33765;5;2005-2006
33765;4;2006-2007
33765;2;2007-2008
33765;5;2008-2009
33766;1;2000-2001
33766;2;2001-2002
33766;6;2002-2003
33766;3;2003-2004
33766;5;2004-2005
33766;4;2005-2006
33766;4;2006-2007
33766;2;2007-2008
33766;4;2008-2009
33767;2;2000-2001
33767;2;2001-2002
33767;6;2002-2003
33767;1;2003-2004
33767;5;2004-2005
33767;2;2005-2006
33767;4;2006-2007
33767;3;2008-2009
33768;5;2002-2003
33768;4;2004-2005
33768;2;2005-2006
33768;2;2006-2007
33768;1;2007-2008
33768;1;2008-2009
33769;3;2002-2003
33769;4;2004-2005
33769;1;2005-2006
33769;2;2006-2007
33769;1;2007-2008
33769;1;2008-2009
33770;2;2002-2003
33770;4;2004-2005
33770;1;2005-2006
33770;2;2006-2007
33770;1;2007-2008
33770;1;2008-2009
33771;2;2002-2003
33771;3;2004-2005
33771;1;2005-2006
33771;1;2006-2007
33771;1;2007-2008
33771;1;2008-2009
33932;1;1999-2000
33932;3;2000-2001
33932;1;2001-2002
33932;7;2002-2003
33932;3;2003-2004
33932;2;2004-2005
33932;8;2005-2006
33932;5;2006-2007
33932;1;2007-2008
33932;9;2008-2009
33933;1;1999-2000
33933;5;2000-2001
33933;3;2001-2002
33933;7;2002-2003
33933;3;2003-2004
33933;3;2004-2005
33933;10;2005-2006
33933;4;2006-2007
33933;5;2007-2008
33933;11;2008-2009
33934;1;1999-2000
33934;5;2000-2001
33934;4;2001-2002
33934;9;2002-2003
33934;3;2003-2004
33934;4;2004-2005
33934;12;2005-2006
33934;5;2006-2007
33934;5;2007-2008
33934;14;2008-2009
33935;1;1999-2000
33935;5;2000-2001
33935;4;2001-2002
33935;10;2002-2003
33935;4;2003-2004
33935;5;2004-2005
33935;12;2005-2006
33935;4;2006-2007
33935;5;2007-2008
33935;14;2008-2009
33936;2;1999-2000
33936;6;2000-2001
33936;4;2001-2002
33936;10;2002-2003
33936;4;2003-2004
33936;4;2004-2005
33936;11;2005-2006
33936;5;2006-2007
33936;6;2007-2008
33936;15;2008-2009
33937;1;1999-2000
33937;8;2000-2001
33937;5;2001-2002
33937;10;2002-2003
33937;6;2003-2004
33937;6;2004-2005
33937;11;2005-2006
33937;5;2006-2007
33937;5;2007-2008
33937;14;2008-2009
33938;1;1999-2000
33938;7;2000-2001
33938;5;2001-2002
33938;10;2002-2003
33938;5;2003-2004
33938;6;2004-2005
33938;9;2005-2006
33938;5;2006-2007
33938;4;2007-2008
33938;14;2008-2009
33939;1;1999-2000
33939;7;2000-2001
33939;4;2001-2002
33939;10;2002-2003
33939;5;2003-2004
33939;5;2004-2005
33939;9;2005-2006
33939;4;2006-2007
33939;5;2007-2008
33939;13;2008-2009
33940;1;1999-2000
33940;7;2000-2001
33940;4;2001-2002
33940;9;2002-2003
33940;4;2003-2004
33940;5;2004-2005
33940;9;2005-2006
33940;4;2006-2007
33940;3;2007-2008
33940;11;2008-2009
33941;1;1999-2000
33941;6;2000-2001
33941;3;2001-2002
33941;7;2002-2003
33941;3;2003-2004
33941;5;2004-2005
33941;9;2005-2006
33941;4;2006-2007
33941;1;2007-2008
33941;10;2008-2009
33942;1;1999-2000
33942;5;2000-2001
33942;5;2002-2003
33942;4;2003-2004
33942;4;2004-2005
33942;8;2005-2006
33942;3;2006-2007
33942;1;2007-2008
33942;10;2008-2009
33943;4;2000-2001
33943;5;2002-2003
33943;3;2003-2004
33943;3;2004-2005
33943;3;2005-2006
33943;3;2006-2007
33943;1;2007-2008
33943;7;2008-2009
33944;3;2000-2001
33944;1;2001-2002
33944;5;2002-2003
33944;3;2003-2004
33944;3;2004-2005
33944;5;2005-2006
33944;3;2006-2007
33944;1;2007-2008
33944;6;2008-2009
33945;2;2000-2001
33945;1;2001-2002
33945;4;2002-2003
33945;1;2003-2004
33945;3;2004-2005
33945;3;2005-2006
33945;3;2006-2007
33945;7;2008-2009
33946;1;2000-2001
33946;2;2001-2002
33946;4;2002-2003
33946;1;2003-2004
33946;4;2004-2005
33946;4;2005-2006
33946;3;2006-2007
